yourlist:M20190701216DA2B77BFBD2E6699CA9B6D1C41EB22597F0Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (synonym )
Q15759	Q15759	MK11_HUMAN	reviewed	Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2)	MAPK11 PRKM11 SAPK2 SAPK2B	Homo sapiens (Human)	MAPK11	PRKM11 SAPK2 SAPK2B
P53778	P53778	MK12_HUMAN	reviewed	Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)	MAPK12 ERK6 SAPK3	Homo sapiens (Human)	MAPK12	ERK6 SAPK3
O15264	O15264	MK13_HUMAN	reviewed	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	MAPK13 PRKM13 SAPK4	Homo sapiens (Human)	MAPK13	PRKM13 SAPK4
Q9Y2H9	Q9Y2H9	MAST1_HUMAN	reviewed	Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)	MAST1 KIAA0973 SAST	Homo sapiens (Human)	MAST1	KIAA0973 SAST
O00141	O00141	SGK1_HUMAN	reviewed	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	SGK1 SGK	Homo sapiens (Human)	SGK1	SGK
Q9H2G2	Q9H2G2	SLK_HUMAN	reviewed	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	SLK KIAA0204 STK2	Homo sapiens (Human)	SLK	KIAA0204 STK2
Q9NYY3	Q9NYY3	PLK2_HUMAN	reviewed	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	PLK2 SNK	Homo sapiens (Human)	PLK2	SNK
Q16584	Q16584	M3K11_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase)	MAP3K11 MLK3 PTK1 SPRK	Homo sapiens (Human)	MAP3K11	MLK3 PTK1 SPRK
P12931	P12931	SRC_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	SRC	SRC1
Q96SB4	Q96SB4	SRPK1_HUMAN	reviewed	SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)	SRPK1	Homo sapiens (Human)	SRPK1	
P78362	P78362	SRPK2_HUMAN	reviewed	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	SRPK2	Homo sapiens (Human)	SRPK2	
O76039	O76039	CDKL5_HUMAN	reviewed	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	CDKL5 STK9	Homo sapiens (Human)	CDKL5	STK9
Q9UL54	Q9UL54	TAOK2_HUMAN	reviewed	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)	TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431	Homo sapiens (Human)	TAOK2	KIAA0881 MAP3K17 PSK PSK1
P43405	P43405	KSYK_HUMAN	reviewed	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	SYK	
O43318	O43318	M3K7_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	Homo sapiens (Human)	MAP3K7	TAK1
Q13873	Q13873	BMPR2_HUMAN	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	BMPR2 PPH1	Homo sapiens (Human)	BMPR2	PPH1
P42680	P42680	TEC_HUMAN	reviewed	Tyrosine-protein kinase Tec (EC 2.7.10.2)	TEC PSCTK4	Homo sapiens (Human)	TEC	PSCTK4
Q02763	Q02763	TIE2_HUMAN	reviewed	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)	TEK TIE2 VMCM VMCM1	Homo sapiens (Human)	TEK	TIE2 VMCM VMCM1
Q15569	Q15569	TESK1_HUMAN	reviewed	Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)	TESK1	Homo sapiens (Human)	TESK1	
P37173	P37173	TGFR2_HUMAN	reviewed	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	TGFBR2	Homo sapiens (Human)	TGFBR2	
P35590	P35590	TIE1_HUMAN	reviewed	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIE1 TIE	Homo sapiens (Human)	TIE1	TIE
Q8WZ42	Q8WZ42	TITIN_HUMAN	reviewed	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	TTN	
Q9UKI8	Q9UKI8	TLK1_HUMAN	reviewed	Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (PKU-beta) (Tousled-like kinase 1)	TLK1 KIAA0137	Homo sapiens (Human)	TLK1	KIAA0137
Q86UE8	Q86UE8	TLK2_HUMAN	reviewed	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)	TLK2	Homo sapiens (Human)	TLK2	
Q13470	Q13470	TNK1_HUMAN	reviewed	Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1)	TNK1	Homo sapiens (Human)	TNK1	
O75962	O75962	TRIO_HUMAN	reviewed	Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)	TRIO	Homo sapiens (Human)	TRIO	
P04629	P04629	NTRK1_HUMAN	reviewed	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	NTRK1 MTC TRK TRKA	Homo sapiens (Human)	NTRK1	MTC TRK TRKA
Q16620	Q16620	NTRK2_HUMAN	reviewed	BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B)	NTRK2 TRKB	Homo sapiens (Human)	NTRK2	TRKB
Q16288	Q16288	NTRK3_HUMAN	reviewed	NT-3 growth factor receptor (EC 2.7.10.1) (GP145-TrkC) (Trk-C) (Neurotrophic tyrosine kinase receptor type 3) (TrkC tyrosine kinase)	NTRK3 TRKC	Homo sapiens (Human)	NTRK3	TRKC
Q9Y4A5	Q9Y4A5	TRRAP_HUMAN	reviewed	Transformation/transcription domain-associated protein (350/400 kDa PCAF-associated factor) (PAF350/400) (STAF40) (Tra1 homolog)	TRRAP PAF400	Homo sapiens (Human)	TRRAP	PAF400
P33981	P33981	TTK_HUMAN	reviewed	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	TTK MPS1 MPS1L1	Homo sapiens (Human)	TTK	MPS1 MPS1L1
P42681	P42681	TXK_HUMAN	reviewed	Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)	TXK PTK4 RLK	Homo sapiens (Human)	TXK	PTK4 RLK
P29597	P29597	TYK2_HUMAN	reviewed	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2	Homo sapiens (Human)	TYK2	
Q06418	Q06418	TYRO3_HUMAN	reviewed	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	Homo sapiens (Human)	TYRO3	BYK DTK RSE SKY TIF
O75385	O75385	ULK1_HUMAN	reviewed	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ULK1 KIAA0722	Homo sapiens (Human)	ULK1	KIAA0722
Q8IYT8	Q8IYT8	ULK2_HUMAN	reviewed	Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2)	ULK2 KIAA0623	Homo sapiens (Human)	ULK2	KIAA0623
Q99986	Q99986	VRK1_HUMAN	reviewed	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)	VRK1	Homo sapiens (Human)	VRK1	
Q86Y07	Q86Y07	VRK2_HUMAN	reviewed	Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)	VRK2	Homo sapiens (Human)	VRK2	
P30291	P30291	WEE1_HUMAN	reviewed	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)	WEE1	Homo sapiens (Human)	WEE1	
P07947	P07947	YES_HUMAN	reviewed	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Homo sapiens (Human)	YES1	YES
O00506	O00506	STK25_HUMAN	reviewed	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	STK25 SOK1 YSK1	Homo sapiens (Human)	STK25	SOK1 YSK1
P43403	P43403	ZAP70_HUMAN	reviewed	Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)	ZAP70 SRK	Homo sapiens (Human)	ZAP70	SRK
O43283	O43283	M3K13_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK)	MAP3K13 LZK	Homo sapiens (Human)	MAP3K13	LZK
Q08345	Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	DDR1	CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE
Q86TW2	Q86TW2	ADCK1_HUMAN	reviewed	Uncharacterized aarF domain-containing protein kinase 1 (EC 2.7.11.-)	ADCK1	Homo sapiens (Human)	ADCK1	
P35968	P35968	VGFR2_HUMAN	reviewed	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	KDR FLK1 VEGFR2	Homo sapiens (Human)	KDR	FLK1 VEGFR2
Q8NER5	Q8NER5	ACV1C_HUMAN	reviewed	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)	ACVR1C ALK7	Homo sapiens (Human)	ACVR1C	ALK7
Q96GD4	Q96GD4	AURKB_HUMAN	reviewed	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5	Homo sapiens (Human)	AURKB	AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5
O14965	O14965	AURKA_HUMAN	reviewed	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	Homo sapiens (Human)	AURKA	AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
Q13164	Q13164	MK07_HUMAN	reviewed	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	MAPK7 BMK1 ERK5 PRKM7	Homo sapiens (Human)	MAPK7	BMK1 ERK5 PRKM7
O43683	O43683	BUB1_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	BUB1 BUB1L	Homo sapiens (Human)	BUB1	BUB1L
Q16832	Q16832	DDR2_HUMAN	reviewed	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	DDR2 NTRKR3 TKT TYRO10	Homo sapiens (Human)	DDR2	NTRKR3 TKT TYRO10
Q13308	Q13308	PTK7_HUMAN	reviewed	Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7)	PTK7 CCK4	Homo sapiens (Human)	PTK7	CCK4
P53667	P53667	LIMK1_HUMAN	reviewed	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	Homo sapiens (Human)	LIMK1	LIMK
Q6ZMQ8	Q6ZMQ8	LMTK1_HUMAN	reviewed	Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (Lemur tyrosine kinase 1) (p35-binding protein) (p35BP)	AATK AATYK KIAA0641 LMR1 LMTK1	Homo sapiens (Human)	AATK	AATYK KIAA0641 LMR1 LMTK1
Q8IWU2	Q8IWU2	LMTK2_HUMAN	reviewed	Serine/threonine-protein kinase LMTK2 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase 2) (Brain-enriched kinase) (hBREK) (CDK5/p35-regulated kinase) (CPRK) (Kinase/phosphatase/inhibitor 2) (Lemur tyrosine kinase 2) (Serine/threonine-protein kinase KPI-2)	LMTK2 AATYK2 BREK KIAA1079 KPI2 LMR2	Homo sapiens (Human)	LMTK2	AATYK2 BREK KIAA1079 KPI2 LMR2
Q96Q04	Q96Q04	LMTK3_HUMAN	reviewed	Serine/threonine-protein kinase LMTK3 (EC 2.7.11.1) (Lemur tyrosine kinase 3)	LMTK3 KIAA1883 TYKLM3	Homo sapiens (Human)	LMTK3	KIAA1883 TYKLM3
Q15375	Q15375	EPHA7_HUMAN	reviewed	Ephrin type-A receptor 7 (EC 2.7.10.1) (EPH homology kinase 3) (EHK-3) (EPH-like kinase 11) (EK11) (hEK11)	EPHA7 EHK3 HEK11	Homo sapiens (Human)	EPHA7	EHK3 HEK11
P51813	P51813	BMX_HUMAN	reviewed	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	BMX	Homo sapiens (Human)	BMX	
P42679	P42679	MATK_HUMAN	reviewed	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL	Homo sapiens (Human)	MATK	CTK HYL
P42685	P42685	FRK_HUMAN	reviewed	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	FRK PTK5 RAK	Homo sapiens (Human)	FRK	PTK5 RAK
Q9HC98	Q9HC98	NEK6_HUMAN	reviewed	Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)	NEK6	Homo sapiens (Human)	NEK6	
Q8TDX7	Q8TDX7	NEK7_HUMAN	reviewed	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	NEK7	Homo sapiens (Human)	NEK7	
Q2M2I8	Q2M2I8	AAK1_HUMAN	reviewed	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048	Homo sapiens (Human)	AAK1	KIAA1048
Q96QT4	Q96QT4	TRPM7_HUMAN	reviewed	Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7)	TRPM7 CHAK1 LTRPC7	Homo sapiens (Human)	TRPM7	CHAK1 LTRPC7
Q14289	Q14289	FAK2_HUMAN	reviewed	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)	PTK2B	FAK2 PYK2 RAFTK
Q9H3Y6	Q9H3Y6	SRMS_HUMAN	reviewed	Tyrosine-protein kinase Srms (EC 2.7.10.2)	SRMS C20orf148	Homo sapiens (Human)	SRMS	C20orf148
O94804	O94804	STK10_HUMAN	reviewed	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK	Homo sapiens (Human)	STK10	LOK
Q8IVH8	Q8IVH8	M4K3_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)	MAP4K3 RAB8IPL1	Homo sapiens (Human)	MAP4K3	RAB8IPL1
O95747	O95747	OXSR1_HUMAN	reviewed	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	OXSR1 KIAA1101 OSR1	Homo sapiens (Human)	OXSR1	KIAA1101 OSR1
Q9NQU5	Q9NQU5	PAK6_HUMAN	reviewed	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	PAK6 PAK5	Homo sapiens (Human)	PAK6	PAK5
O96013	O96013	PAK4_HUMAN	reviewed	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	PAK4 KIAA1142	Homo sapiens (Human)	PAK4	KIAA1142
Q9P289	Q9P289	STK26_HUMAN	reviewed	Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)	STK26 MASK MST4	Homo sapiens (Human)	STK26	MASK MST4
Q9UEW8	Q9UEW8	STK39_HUMAN	reviewed	STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39)	STK39 SPAK	Homo sapiens (Human)	STK39	SPAK
Q7RTN6	Q7RTN6	STRAA_HUMAN	reviewed	STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96)	STRADA LYK5 STRAD	Homo sapiens (Human)	STRADA	LYK5 STRAD
Q9C0K7	Q9C0K7	STRAB_HUMAN	reviewed	STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein) (CALS-21) (ILP-interacting protein) (Pseudokinase ALS2CR2)	STRADB ALS2CR2 ILPIP PRO1038	Homo sapiens (Human)	STRADB	ALS2CR2 ILPIP
Q9H2K8	Q9H2K8	TAOK3_HUMAN	reviewed	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	TAOK3 DPK JIK KDS MAP3K18	Homo sapiens (Human)	TAOK3	DPK JIK KDS MAP3K18
Q7L7X3	Q7L7X3	TAOK1_HUMAN	reviewed	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)	TAOK1 KIAA1361 MAP3K16 MARKK	Homo sapiens (Human)	TAOK1	KIAA1361 MAP3K16 MARKK
O95819	O95819	M4K4_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK	Homo sapiens (Human)	MAP4K4	HGK KIAA0687 NIK
Q9UKE5	Q9UKE5	TNIK_HUMAN	reviewed	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	TNIK KIAA0551	Homo sapiens (Human)	TNIK	KIAA0551
Q8N4C8	Q8N4C8	MINK1_HUMAN	reviewed	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3	Homo sapiens (Human)	MINK1	B55 MAP4K6 MINK YSK2 ZC3
Q7Z2Y5	Q7Z2Y5	NRK_HUMAN	reviewed	Nik-related protein kinase (EC 2.7.11.1)	NRK	Homo sapiens (Human)	NRK	
O95835	O95835	LATS1_HUMAN	reviewed	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	LATS1 WARTS	Homo sapiens (Human)	LATS1	WARTS
Q9NRM7	Q9NRM7	LATS2_HUMAN	reviewed	Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase)	LATS2 KPM	Homo sapiens (Human)	LATS2	KPM
Q9BWU1	Q9BWU1	CDK19_HUMAN	reviewed	Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)	CDK19 CDC2L6 CDK11 KIAA1028	Homo sapiens (Human)	CDK19	CDC2L6 CDK11 KIAA1028
Q8IY84	Q8IY84	NIM1_HUMAN	reviewed	Serine/threonine-protein kinase NIM1 (EC 2.7.11.1) (NIM1 serine/threonine-protein kinase)	NIM1K NIM1	Homo sapiens (Human)	NIM1K	NIM1
Q6PHR2	Q6PHR2	ULK3_HUMAN	reviewed	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3	Homo sapiens (Human)	ULK3	
Q8N165	Q8N165	PDK1L_HUMAN	reviewed	Serine/threonine-protein kinase PDIK1L (EC 2.7.11.1) (PDLIM1-interacting kinase 1-like)	PDIK1L CLIK1L	Homo sapiens (Human)	PDIK1L	CLIK1L
Q6IQ55	Q6IQ55	TTBK2_HUMAN	reviewed	Tau-tubulin kinase 2 (EC 2.7.11.1)	TTBK2 KIAA0847	Homo sapiens (Human)	TTBK2	KIAA0847
Q96KG9	Q96KG9	SCYL1_HUMAN	reviewed	N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)	SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019	Homo sapiens (Human)	SCYL1	CVAK90 GKLP NTKL TAPK TEIF TRAP
Q96GX5	Q96GX5	GWL_HUMAN	reviewed	Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	MASTL GW GWL THC2	Homo sapiens (Human)	MASTL	GW GWL THC2
Q9BXM7	Q9BXM7	PINK1_HUMAN	reviewed	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	PINK1	
Q96C45	Q96C45	ULK4_HUMAN	reviewed	Serine/threonine-protein kinase ULK4 (EC 2.7.11.1) (Unc-51-like kinase 4)	ULK4	Homo sapiens (Human)	ULK4	
Q8NB16	Q8NB16	MLKL_HUMAN	reviewed	Mixed lineage kinase domain-like protein (hMLKL)	MLKL	Homo sapiens (Human)	MLKL	
Q9C098	Q9C098	DCLK3_HUMAN	reviewed	Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)	DCLK3 DCAMKL3 DCDC3C KIAA1765	Homo sapiens (Human)	DCLK3	DCAMKL3 DCDC3C KIAA1765
